Date,AAPL,NVDA
2023-06-28,188.250244140625,41.104698181152344
2023-06-29,188.58843994140625,40.809776306152344
2023-06-30,192.9453125,42.289337158203125
2023-07-03,191.44329833984375,42.400306701660156
2023-07-05,190.3192596435547,42.30433654785156
2023-07-06,190.79672241210938,42.09040069580078
2023-07-07,189.6726837158203,42.49027633666992
2023-07-10,187.61363220214844,42.16737365722656
2023-07-11,187.08642578125,42.39230728149414
2023-07-12,188.7675018310547,43.888858795166016
2023-07-13,189.53343200683594,45.96324157714844
2023-07-14,189.6826629638672,45.45539093017578
2023-07-17,192.96522521972656,46.44709396362305
2023-07-18,192.7065887451172,47.47978210449219
2023-07-19,194.06936645507812,47.062904357910156
2023-07-20,192.10977172851562,45.50637435913086
2023-07-21,190.92605590820312,44.29573440551758
2023-07-24,191.7317657470703,44.59865188598633
